Treatment,Block,Core,Core.depth.cm,Core.length.cm,Core.area.cm2,Wet.weight.g,Subsample.weight.g,Subsample.ectos,Total.ectos,ectos.cm3
Control,B1,,5-15,10,13.20254313,38.153,18.509,0,0,0
Control,B1,3,5-15,10,13.20254313,49.4,24.3,0,0,0
Control,B1,8,5-10,5,13.20254313,19.264,10.845,0,0,0
Control,B2,10,5-15,10,13.20254313,37.03,NA,NA,93,0.704409742
Control,B2,2,5-10,5,13.20254313,23.71,11.79,40,80.44105174,1.218569043
Control,B2,5,5-15,10,13.20254313,31.538,15.544,0,0,0
Control,B3,1,5-12,7,13.20254313,NA,NA,NA,23,0.248869801
Control,B3,10,5-10,5,13.20254313,16.409,8.172,7,14.05567792,0.212923795
Control,B3,5,5-15,10,13.20254313,NA,NA,NA,229,1.734514311
Control,B4,1,5-12,7,13.20254313,29.9,18.4,38,61.75,0.668161315
Control,B4,7,5-15,10,13.20254313,31.37,16.73,63,118.1297071,0.89474964
Control,B4,9,5-14,9,13.20254313,22.1,12.11,28,51.0982659,0.430037232
Fertilized,B1,1,5-15,5,13.20254313,24.896,13.024,6,11.46928747,0.173743609
Fertilized,B1,6,5-14,9,13.20254313,59.514,26.64,27,60.31824324,0.507631519
Fertilized,B1,9,5-15,10,13.20254313,38.1,16.1,2,4.732919255,0.035848542
Fertilized,B2,10,5-15,10,13.20254313,27.1,15.5,0,0,0
Fertilized,B2,12,5-15,10,13.20254313,NA,NA,0,0,0
Fertilized,B2,5,5-15,10,13.20254313,36.12,18.79,209,401.7605109,3.043053956
Fertilized,B3,4,5-15,10,13.20254313,23.51,13.18,48,85.62063733,0.648516248
Fertilized,B3,5,5-15,10,13.20254313,27.382,13.548,2,4.042220254,0.030616982
Fertilized,B3,9,5-15,10,13.20254313,27.516,13.976,0,0,0
Fertilized,B4,11,5-15,10,13.20254313,29.65,16.23,0,0,0
Fertilized,B4,2,5-15,10,13.20254313,31.288,NA,NA,89,0.674112549
Fertilized,B4,5,5-15,10,13.20254313,33,15.9,10,20.75471698,0.157202418
Warmed,B1,2,5-15,10,13.20254313,31.274,16.429,4,7.614340495,0.057673286
Warmed,B1,5,5-15,10,13.20254313,32.53,17.44,108,201.4472477,1.525821546
Warmed,B1,8,5-15,10,13.20254313,25.472,12.598,5,10.1095412,0.076572681
Warmed,B2,2,5-15,10,13.20254313,40.002,20.605,40,77.65493812,0.588181666
Warmed,B2,5,5-15,9,13.20254313,29.567,16.922,177,309.2636213,2.602727691
Warmed,B2,9,5-14,8,13.20254313,31.823,16.206,429,842.4081822,7.975813581
Warmed,B3,1,5-15,10,13.20254313,35.48,18.55,68,130.0614555,0.985124262
Warmed,B3,7,5-15,10,13.20254313,22.86,12.19,90,168.7776866,1.278372545
Warmed,B3,9,5-15,10,13.20254313,65.036,31.18,109,227.3548428,1.7220534
Warmed,B4,1,5-13,7,13.20254313,17.605,8.765,25,50.213919,0.543336002
Warmed,B4,4,5-15,10,13.20254313,9.444,6.932,45,61.30698211,0.464357371
Warmed,B4,8,5-15,10,13.20254313,21.085,13.761,122,186.931909,1.415878041
Warmed.Fertilized,B1,1,5-15,10,13.20254313,40.146,21.413,68,127.4892822,0.965641854
Warmed.Fertilized,B1,7,5-15,10,13.20254313,28.715,14.478,146,289.5696919,2.193287226
Warmed.Fertilized,B1,8,5-15,10,13.20254313,39.06,19.81,73,143.9363958,1.090217198
Warmed.Fertilized,B2,4,5-15,10,13.20254313,36,17.9,24,48.26815642,0.365597415
Warmed.Fertilized,B2,6,5-15,10,13.20254313,32.5,17.1,52,98.83040936,0.748571002
Warmed.Fertilized,B2,8,5-15,10,13.20254313,17.9,9.9,88,159.1111111,1.205155019
Warmed.Fertilized,B3,4,5-15,10,13.20254313,NA,NA,0,0,0
Warmed.Fertilized,B3,1,5-15,10,13.20254313,22.99,12.68,58,105.159306,0.796507953
Warmed.Fertilized,B3,8,5-15,10,13.20254313,26.16,15.71,26,43.29471674,0.3279271
Warmed.Fertilized,B4,2,5-15,10,13.20254313,NA,NA,0,0,0
Warmed.Fertilized,B4,5,5-15,10,13.20254313,32.83,15.648,114,239.1756135,1.811587443
Warmed.Fertilized,B4,8,5-15,10,13.20254313,46.789,25.264,46,85.1921311,0.645270614
