Block,Treatment,Warmed,Fertilized,Plate,Column,Row,Core,LAP.mm2.min,NAG.mm2.min,PHOS.mm2.min,ABTS.mm2.min,TMB.mm2.min,Area
B1,Control,N,N,MAT.C.B1,3,A,6,11.92580421,12.51177783,94.4702849,0,154.4287393,2.047
B1,Control,N,N,MAT.C.B1,3,B,6,24.63494789,18.16530585,153.8365073,9.681795542,684.0669124,0.847
B1,Control,N,N,MAT.C.B1,3,C,6,17.01423224,24.43696475,139.7827997,0,235.5996599,0.591
B1,Control,N,N,MAT.C.B1,3,D,6,11.07033391,16.30563948,105.8797259,0,135.3368064,0.959
B1,Control,N,N,MAT.C.B1,3,E,6,NA,NA,NA,NA,NA,NA
B1,Control,N,N,MAT.C.B1,3,F,6,14.43625137,16.25367629,131.5019394,0,196.4620918,1.018
B1,Control,N,N,MAT.C.B1,3,G,6,15.7910766,19.89478887,117.5500681,0,437.8397425,0.796
B1,Control,N,N,MAT.C.B1,3,H,6,34.13865546,26.78698986,193.5415118,0,504.1533497,0.544
B1,Control,N,N,MAT.C.B1,4,A,6,63.8869902,87.45419452,606.7909349,0,220.4573346,0.209
B1,Control,N,N,MAT.C.B1,4,B,6,18.967323,18.60862247,133.9770384,0,83.1965617,0.992
B1,Control,N,N,MAT.C.B1,4,C,4,11.95863816,18.90484927,120.7929461,0,91.75760313,0.458
B1,Control,N,N,MAT.C.B1,4,D,4,11.2330968,18.25409368,156.9828935,0,76.99273233,0.388
B1,Control,N,N,MAT.C.B1,4,E,4,24.0576288,18.03552509,251.6825631,4.321729025,278.1786052,0.253
B1,Control,N,N,MAT.C.B1,4,F,4,11.57950784,14.44613551,117.3105616,0,130.4170679,0.374
B1,Control,N,N,MAT.C.B1,4,G,4,5.182016408,19.58056499,107.8826853,0,319.3512736,0.677
B1,Control,N,N,MAT.C.B1,4,H,4,5.429389387,22.74957665,137.2843452,44.82734616,351.6898556,0.561
B1,Control,N,N,MAT.C.B1,5,A,4,0.41536864,3.34468598,13.52791965,0,105.6815603,0.321
B1,Control,N,N,MAT.C.B1,5,B,4,9.259946403,16.76022915,138.2870749,0,109.7037689,0.42
B1,Control,N,N,MAT.C.B1,5,C,9,4.265383179,31.45247487,116.1960891,110.0384008,203.2849392,0.313
B1,Control,N,N,MAT.C.B1,5,D,9,4.764932038,23.53818986,111.5395442,94.62093259,479.4745144,0.572
B1,Control,N,N,MAT.C.B1,5,E,9,6.208185754,42.86164355,126.8781329,89.30447867,328.2003051,0.704
B1,Control,N,N,MAT.C.B1,5,F,2,24.97546898,18.34142174,106.7508016,170.3877682,247.818001,0.6
B1,Control,N,N,MAT.C.B1,5,G,2,26.09630309,15.0684137,93.72099947,95.89020857,178.7708167,0.439
B1,Control,N,N,MAT.C.B1,5,H,2,1.21781727,21.72580102,35.66297064,380.5310839,997.6602869,1.52
B1,Control,N,N,MAT.C.B1,6,A,2,38.69753435,22.85291671,228.3998934,317.392864,511.5048835,0.391
B1,Control,N,N,MAT.C.B1,6,B,2,27.55377955,16.38439659,121.3425123,203.5401394,318.0760163,0.65
B1,Control,N,N,MAT.C.B1,6,C,2,23.65731681,22.32475664,98.9697973,257.9552568,308.5217807,0.657
B1,Control,N,N,MAT.C.B1,6,D,2,43.72294372,13.44238045,151.6947064,165.3878486,335.0680724,0.476
