Root.tip.ID,Seq.plate,Seq.plate.well,Plot,Treatment,Block,Core,ECM,Accession,OTU ,Species,Genus,Family,Order,Phylum,enz.well,LAP,NAG,PHOS,ABTS,TMB
MAT.B1.C.21,2,3E,MAT.B1.C,Control,B1,2,Maybe,MK713548.1,1,Alternaria alternata,Alternaria,Pleosporaceae,Pleosporales,Ascomycota,6E,61.97485055,19.87313764,137.6921662,354.0525054,350.8109533
MAT.B2.F.10,5,2A,MAT.B2.F,Fertilized,B2,11,Maybe,LC131023,2,Articulospora tetracladia,Articulospora,Helotiaceae,Helotiales,Ascomycota,4E,2.605521434,5.087341335,15.34793403,2.772967618,734.9803545
MAT.B2.WF.10,5,12B,MAT.B2.WF,Warmed.Fertilized,B2,2,Maybe,AY762620.1,3,Cadophora finlandica,Cadophora,Helotiaceae,Helotiales,Ascomycota,4G,0.214054917,22.07752043,31.61612441,126.9655501,266.4950003
MAT.B4.W.42,1,6B,MAT.B4.W,Warmed,B4,3,Yes,KT182906.1,4,Cenococcum geophilum,Cenococcum,Gloniaceae,Mytilinidiales,Ascomycota,8B,0.341894306,7.185908361,9.207911237,1.507917946,362.7481422
MAT.B4.W.45,1,6E,MAT.B4.W,Warmed,B4,3,Yes,KU878614.1,4,Cenococcum geophilum,Cenococcum,Gloniaceae,Mytilinidiales,Ascomycota,8E,0.741965106,13.73887447,20.51823037,48.72245273,483.7936209
MAT.B1.C.11,2,2C,MAT.B1.C,Control,B1,4,Yes,MH038128.1,4,Cenococcum geophilum,Cenococcum,Gloniaceae,Mytilinidiales,Ascomycota,5A,0.41536864,3.34468598,13.52791965,0,105.6815603
MAT.B4.C.36,4,1D,MAT.B4.C,Control,B4,5,Yes,JN943891.1,4,Cenococcum geophilum,Cenococcum,Gloniaceae,Mytilinidiales,Ascomycota,10C,1.566893982,22.30691357,11.28349487,53.65548977,285.203428
MAT.B4.C.37,4,1E,MAT.B4.C,Control,B4,5,Yes,JN943891.1,4,Cenococcum geophilum,Cenococcum,Gloniaceae,Mytilinidiales,Ascomycota,10D,1.621506172,24.94187854,12.91445562,144.1139352,342.7628565
MAT.B4.C.39,4,1G,MAT.B4.C,Control,B4,5,Yes,JN943891.1,4,Cenococcum geophilum,Cenococcum,Gloniaceae,Mytilinidiales,Ascomycota,10G,2.110152898,13.01690728,11.67572307,5.272942917,98.45210028
MAT.B4.WF.6,4,2F,MAT.B4.WF,Warmed.Fertilized,B4,1,Yes,DQ179119.1,4,Cenococcum geophilum,Cenococcum,Gloniaceae,Mytilinidiales,Ascomycota,4A,0.94361053,26.22558645,20.78832329,22.10833422,258.1212117
MAT.B4.WF.7,4,2G,MAT.B4.WF,Warmed.Fertilized,B4,1,Yes,JN943891.1,4,Cenococcum geophilum,Cenococcum,Gloniaceae,Mytilinidiales,Ascomycota,4B,0.25029547,16.14061491,14.8632988,69.37239393,439.3322136
MAT.B4.WF.8,4,2H,MAT.B4.WF,Warmed.Fertilized,B4,1,Yes,DQ179119.1,4,Cenococcum geophilum,Cenococcum,Gloniaceae,Mytilinidiales,Ascomycota,4C,1.111108926,28.84675456,16.00349268,0,303.4028668
MAT.B4.WF.9,4,3A,MAT.B4.WF,Warmed.Fertilized,B4,1,Yes,DQ179119.1,4,Cenococcum geophilum,Cenococcum,Gloniaceae,Mytilinidiales,Ascomycota,4D,0.404819969,14.42035086,12.12407954,56.88430667,269.144213
MAT.B4.WF.27,4,5D,MAT.B4.WF,Warmed.Fertilized,B4,4,Yes,JN943891.1,4,Cenococcum geophilum,Cenococcum,Gloniaceae,Mytilinidiales,Ascomycota,8D,0.077364657,4.58346775,8.670037184,6.36207331,512.9368118
MAT.B4.WF.28,4,5E,MAT.B4.WF,Warmed.Fertilized,B4,4,Yes,DQ179119.1,4,Cenococcum geophilum,Cenococcum,Gloniaceae,Mytilinidiales,Ascomycota,8E,0.094731552,8.000484132,5.047513757,52.62233431,691.9060096
MAT.B4.WF.35,4,6D,MAT.B4.WF,Warmed.Fertilized,B4,3,Yes,JN943891.1,4,Cenococcum geophilum,Cenococcum,Gloniaceae,Mytilinidiales,Ascomycota,10F,0.828064562,12.17829318,57.13023249,14.69202714,437.5007311
MAT.B4.WF.36,4,6E,MAT.B4.WF,Warmed.Fertilized,B4,3,Yes,DQ179119.1,4,Cenococcum geophilum,Cenococcum,Gloniaceae,Mytilinidiales,Ascomycota,10G,2.046411617,28.06308243,27.63053463,371.8814062,1393.168561
MAT.B2.C.28,4,11D,MAT.B2.C,Control,B2,11,Yes,LC095124.1,4,Cenococcum geophilum,Cenococcum,Gloniaceae,Mytilinidiales,Ascomycota,8A,0.670091968,8.940431259,18.90673951,11.53952314,400.6931634
MAT.B2.C.32,4,11H,MAT.B2.C,Control,B2,6,Yes,JN943891.1,4,Cenococcum geophilum,Cenococcum,Gloniaceae,Mytilinidiales,Ascomycota,9E,2.7266182,12.55809593,21.94594209,29.28150228,157.4831349
MAT.B2.C.38,4,12F,MAT.B2.C,Control,B2,7,Yes,JQ711949.1,4,Cenococcum geophilum,Cenococcum,Gloniaceae,Mytilinidiales,Ascomycota,10D,3.597610643,4.544515294,9.604443261,31.39823739,101.7764569
MAT.B2.W.4,5,6D,MAT.B2.W,Warmed,B2,5,Yes,JN943891.1,4,Cenococcum geophilum,Cenococcum,Gloniaceae,Mytilinidiales,Ascomycota,3G,0.272259391,8.823489622,8.327025788,12.74403652,185.5641681
MAT.B2.W.11,5,7C,MAT.B2.W,Warmed,B2,1,Yes,JN943891.1,4,Cenococcum geophilum,Cenococcum,Gloniaceae,Mytilinidiales,Ascomycota,5G,0.483544856,6.09549027,9.909133008,30.98507831,224.7627219
MAT.B2.W.21,5,8E,MAT.B2.W,Warmed,B2,3,Yes,DQ179119.1,4,Cenococcum geophilum,Cenococcum,Gloniaceae,Mytilinidiales,Ascomycota,7F,0.107997013,11.72995311,9.15758926,161.0274012,534.4309537
MAT.B2.W.25,5,9A,MAT.B2.W,Warmed,B2,6,Yes,JN943891.1,4,Cenococcum geophilum,Cenococcum,Gloniaceae,Mytilinidiales,Ascomycota,8G,0.207926509,13.92960285,16.30535676,162.274065,717.1945942
MAT.B2.W.37,5,10E,MAT.B2.W,Warmed,B2,11,Yes,LC095057.1,4,Cenococcum geophilum,Cenococcum,Gloniaceae,Mytilinidiales,Ascomycota,11E,0.658975855,20.1376296,20.47359033,69.0436693,555.1567133
MAT.B1.WF.8,3,4H,MAT.B1.WF,Warmed.Fertilized,B1,9,No,NA,5,Chalara sp.,Chalara,Helotiaceae,Helotiales,Ascomycota,4C,0.886267597,45.54318619,145.3224342,1958.172035,4037.407963
