Species	Treatment	OTU 	LAP	NAG	PHOS	ABTS	TMB
Alternaria alternata	Control	1	61.97485055	19.87313764	137.6921662	354.0525054	350.8109533
Cenococcum geophilum	Control	4	0.41536864	3.34468598	13.52791965	0	105.6815603
Cenococcum geophilum	Control	4	1.566893982	22.30691357	11.28349487	53.65548977	285.203428
Cenococcum geophilum	Control	4	1.621506172	24.94187854	12.91445562	144.1139352	342.7628565
Cenococcum geophilum	Control	4	2.110152898	13.01690728	11.67572307	5.272942917	98.45210028
Cenococcum geophilum	Control	4	0.670091968	8.940431259	18.90673951	11.53952314	400.6931634
Cenococcum geophilum	Control	4	2.7266182	12.55809593	21.94594209	29.28150228	157.4831349
Cenococcum geophilum	Control	4	3.597610643	4.544515294	9.604443261	31.39823739	101.7764569
Cortinarius biformis	Control	6	11.92580421	12.51177783	94.4702849	0	154.4287393
Cortinarius biformis	Control	6	17.01423224	24.43696475	139.7827997	0	235.5996599
Cortinarius biformis	Control	6	11.07033391	16.30563948	105.8797259	0	135.3368064
Cortinarius biformis	Control	6	14.43625137	16.25367629	131.5019394	0	196.4620918
Cortinarius biformis	Control	6	15.7910766	19.89478887	117.5500681	0	437.8397425
Cortinarius biformis	Control	6	63.8869902	87.45419452	606.7909349	0	220.4573346
Cortinarius biformis	Control	6	24.0576288	18.03552509	251.6825631	4.321729025	278.1786052
Cortinarius biformis	Control	6	5.182016408	19.58056499	107.8826853	0	319.3512736
Cortinarius biformis	Control	6	5.429389387	22.74957665	137.2843452	44.82734616	351.6898556
Cortinarius biformis	Control	6	15.78813344	13.66845566	135.5216285	0.656300986	142.8408109
Cortinarius biformis	Control	6	9.834455668	15.08208744	95.96647929	0	125.2138815
Cortinarius biformis	Control	6	17.22184589	20.16790145	90.08967002	0	169.3811272
Cortinarius biformis	Control	6	40.27555948	28.52200846	217.638306	0	354.427561
Cortinarius biformis	Control	6	15.56567268	22.07955849	108.2290738	0.190354708	159.936671
Cortinarius biformis	Control	6	10.56608721	35.48492121	93.19351249	0	454.4500629
Cortinarius biformis	Control	6	18.78695216	15.72175155	146.754872	0	51.54718049
Cortinarius biformis	Control	6	18.21349244	12.24004135	123.84138	0.084351772	322.4916817
Cortinarius biformis	Control	6	27.42345563	19.0997858	141.9043703	5.148703714	114.905739
Cortinarius croceus_1	Control	7	6.247237366	19.02887978	48.24293116	31.89814259	203.7883252
Cortinarius glandicolor	Control	8	9.025677519	66.95450184	287.8978992	0	351.999975
Cortinarius croceus_2	Control	10	10.27263043	19.31657642	87.18375198	12.86404887	719.2512706
Cortinarius croceus_2	Control	10	NA	26.78356945	2.859738906	5.625834302	204.2463911
Cortinarius croceus_2	Control	10	NA	24.09264556	84.97352173	11.46963287	793.0851183
Cortinarius herpeticus	Control	11	7.014514155	38.37307536	60.4579772	0	124.1277141
Cortinarius herpeticus	Control	11	8.948593407	55.1888579	164.5581383	19.05257642	377.2938553
Cortinarius herpeticus	Control	11	7.309003466	44.38196418	76.06032702	0	261.2999111
Cortinarius tabularis	Control	12	0.516220429	16.59781869	41.28725216	0.823738431	147.307887
Laccaria laccata	Control	18	0.14848144	15.61605416	24.01064536	57.78885846	395.868322
Lactarius vietus_1	Control	19	4.265383179	31.45247487	116.1960891	110.0384008	203.2849392
Lactarius vietus_1	Control	19	4.764932038	23.53818986	111.5395442	94.62093259	479.4745144
Lactarius vietus_1	Control	19	6.208185754	42.86164355	126.8781329	89.30447867	328.2003051
Lactarius vietus_1	Control	19	6.498757318	15.58517163	40.81861645	159.3517658	218.5380493
Lactarius vietus_1	Control	19	9.517132194	22.4110894	50.95142776	173.7146157	295.8210911
Lactarius vietus_1	Control	19	10.15963588	24.95619044	51.1725621	18.93481491	366.7255333
Lactarius vietus_1	Control	19	10.58605725	23.88058969	45.20452045	210.3578281	287.3277137
Lactarius vietus_1	Control	19	11.19269009	37.12728983	54.68768003	228.3664151	358.3010863
Lactarius vietus_1	Control	19	5.901165871	22.69044571	39.51325553	263.7260488	351.1858455
